Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
0,2.0,74.0,2.0,75.12,2.0,0,11.0,10.0,1.0,24.0,1.0,2.0,4.0,10.0,2,95.0,0.0,25.78125
0,10.0,6.0,1.0,100.0,1.0,0,2.0,3.0,1.0,9.0,0.0,2.0,1.0,4.0,1,24.0,0.0,53.84615384615385
0,2.0,30.0,2.0,88.24,2.5,1,0.0,3.0,1.0,7.0,0.0,1.0,2.0,2.0,0,26.0,0.0,51.85185185185185
0,8.0,17.0,2.0,100.0,1.0,1,7.0,17.0,2.0,21.0,0.0,8.0,3.0,9.0,1,80.0,0.0,26.605504587155966
0,3.0,48.0,1.0,100.0,1.0,0,2.0,21.0,3.0,3.0,206.0,21.0,0.0,2.0,2,89.0,0.0,24.576271186440678
0,4.0,5.0,2.0,100.0,1.0,0,1.0,5.0,1.0,1.0,10.0,5.0,0.0,0.0,1,12.0,0.0,0.0
0,2.0,38.0,1.0,100.0,1.5,1,7.0,6.0,1.0,21.0,1.0,2.0,1.0,7.0,0,35.0,0.0,44.44444444444444
0,2.0,84.0,1.0,100.0,9.0,0,1.0,23.0,1.0,18.0,0.0,8.0,2.0,5.0,2,82.0,0.0,43.05555555555556
0,5.0,53.0,2.0,87.36,3.0,0,8.0,1.0,21.0,2.0,0.0,1.0,0.0,4.0,0,204.0,0.0,7.2727272727272725
0,3.0,20.0,2.0,50.0,1.0,0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0,18.0,0.0,65.38461538461539
0,3.0,17.0,2.0,80.0,1.0,0,2.0,3.0,1.0,5.0,0.0,1.0,1.0,4.0,0,16.0,0.0,64.44444444444444
0,2.0,18.0,1.0,100.0,1.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,4.0,0.0,87.5
