class_name,project_name,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,Max-Ruler,duplicated_lines_cpd_density,comment_lines_cloc_density
PreferencesData.java,arduino,13.0,29.0,7.0,35.12,2.0,2.0,11.0,28.0,11.0,45.0,3.0,7.0,5.0,24.0,35.0,291.0,0.0,0.0,9.345794392523365
ContributedPlatformTableCellJPanel.java,arduino,38.0,8.0,12.0,42.32,3.5,870.0,14.0,44.0,1.0,49.0,109.0,18.0,4.0,15.0,15.0,192.0,0.0,0.0,22.58064516129032
ContributedLibraryTableCellJPanel.java,arduino,30.0,8.0,7.0,96.42,1.5,3.0,20.0,39.0,2.0,49.0,30.0,9.0,3.0,21.0,40.0,185.0,0.0,0.0,13.145539906103288
FileUtils.java,arduino,13.0,23.0,3.0,63.85,4.0,1.0,11.0,46.0,1.0,46.0,23.0,14.0,4.0,24.0,91.0,222.0,1.0,0.0,14.942528735632186
SerialPlotter.java,arduino,47.0,4.0,5.0,38.06,2.0,4.0,20.0,20.0,1.0,55.0,17.0,7.0,3.0,24.0,103.0,134.0,0.0,0.0,25.96685082872928
Serial.java,arduino,32.0,13.0,9.0,47.96,2.0,4.0,10.0,40.0,5.0,58.0,58.0,20.0,2.0,43.0,118.0,306.0,0.0,0.0,11.046511627906977
SSHUploader.java,arduino,3.0,35.0,3.0,98.1,1.0,0.0,1.0,11.0,1.0,10.0,3.0,3.0,2.0,5.0,1.0,40.0,0.0,0.0,59.183673469387756
PluggableDiscovery.java,arduino,14.0,10.0,6.0,59.1,2.0,2.0,7.0,6.0,1.0,8.0,3.0,3.0,2.0,3.0,0.0,97.0,0.0,0.0,21.774193548387096
LibraryInstaller.java,arduino,18.0,9.0,4.0,52.84,2.0,3.0,12.0,23.0,1.0,31.0,7.0,6.0,5.0,10.0,10.0,102.0,0.0,0.0,24.444444444444443
EditorStatus.java,arduino,16.0,9.0,3.0,63.89,1.5,0.0,5.0,26.0,1.0,27.0,49.0,11.0,2.0,11.0,17.0,95.0,0.0,0.0,22.76422764227642
PreferencesHelper.java,arduino,12.0,10.0,2.0,61.58,1.0,0.0,7.0,35.0,1.0,19.0,72.0,13.0,4.0,2.0,4.0,79.0,0.0,0.0,26.168224299065418
ThinkDifferent.java,arduino,15.0,29.0,1.0,100.0,5.0,0.0,13.0,24.0,1.0,77.0,2.0,5.0,3.0,30.0,124.0,336.0,0.0,0.0,12.5
DiscoveryManager.java,arduino,50.0,5.0,3.0,75.71,3.0,17.0,20.0,24.0,7.0,34.0,40.0,12.0,3.0,8.0,28.0,167.0,0.0,0.0,18.536585365853657
ContributionsIndex.java,arduino,8.0,20.0,5.0,72.35,2.0,23.0,1.0,22.0,3.0,1.0,71.0,19.0,1.0,5.0,35.0,77.0,0.0,0.0,35.294117647058826
ContributedPackage.java,arduino,24.0,6.0,9.0,41.87,2.0,281.0,4.0,16.0,2.0,15.0,19.0,7.0,2.0,9.0,18.0,81.0,0.0,0.0,27.027027027027028
FileDownloaderCache.java,arduino,25.0,6.0,7.0,38.94,1.0,0.0,7.0,18.0,4.0,29.0,10.0,8.0,2.0,18.0,27.0,87.0,0.0,0.0,25.0
ContributionManagerUI.java,arduino,4.0,32.0,3.0,95.65,1.5,0.0,1.0,4.0,1.0,8.0,0.0,1.0,2.0,10.0,0.0,38.0,0.0,0.0,62.37623762376238
RunnerException.java,arduino,4.0,19.0,2.0,75.76,1.5,1.0,2.0,4.0,1.0,7.0,0.0,1.0,3.0,7.0,0.0,32.0,0.0,0.0,55.55555555555556
Platform.java,arduino,1.0,151.0,1.0,100.0,1.0,2.0,1.0,5.0,1.0,17.0,3.0,3.0,1.0,15.0,0.0,45.0,0.0,0.0,67.3913043478261
EditorLineStatus.java,arduino,8.0,31.0,4.0,61.49,1.0,0.0,9.0,44.0,1.0,32.0,57.0,14.0,3.0,31.0,45.0,172.0,0.0,0.0,16.908212560386474
PresentMode.java,arduino,40.0,7.0,5.0,64.09,3.5,2.0,9.0,48.0,1.0,23.0,216.0,24.0,2.0,35.0,139.0,198.0,0.0,0.0,17.154811715481173
FileHash.java,arduino,3.0,30.0,1.0,100.0,1.0,3.0,3.0,7.0,1.0,11.0,6.0,4.0,1.0,0.0,0.0,29.0,0.0,0.0,63.74999999999999
GTKLookAndFeelFixer.java,arduino,23.0,9.0,4.0,36.14,3.0,2.0,7.0,32.0,1.0,35.0,30.0,9.0,3.0,21.0,197.0,149.0,0.0,0.0,19.45945945945946
LegacyTargetPlatform.java,arduino,12.0,8.0,5.0,74.75,1.0,0.0,0.0,20.0,1.0,17.0,0.0,2.0,4.0,25.0,1.0,82.0,0.0,0.0,0.0
UserLibrary.java,arduino,16.0,14.0,4.0,53.31,3.0,0.0,20.0,30.0,2.0,31.0,17.0,10.0,2.0,23.0,26.0,155.0,0.0,0.0,19.270833333333336
AStyleInterface.java,arduino,29.0,10.0,6.0,47.55,3.0,17.0,10.0,44.0,2.0,57.0,105.0,19.0,4.0,23.0,414.0,221.0,0.0,0.0,13.333333333333334
SerialDiscovery.java,arduino,12.0,10.0,6.0,58.17,1.0,1.0,7.0,20.0,1.0,16.0,0.0,3.0,3.0,20.0,4.0,87.0,0.0,0.0,19.444444444444446
SystemProfilerParser.java,arduino,29.0,14.0,7.0,45.93,3.0,3.0,20.0,14.0,12.0,42.0,49.0,11.0,1.0,11.0,78.0,254.0,0.0,0.0,24.17910447761194
ContributionsSelfCheck.java,arduino,24.0,8.0,8.0,42.14,1.0,27.0,7.0,27.0,1.0,20.0,33.0,11.0,3.0,10.0,8.0,121.0,0.0,0.0,23.417721518987342
OSUtils.java,arduino,18.0,6.0,8.0,56.98,1.5,10.0,1.0,10.0,1.0,9.0,4.0,4.0,2.0,9.0,26.0,69.0,0.0,0.0,30.303030303030305
FileDownloader.java,arduino,26.0,6.0,3.0,47.77,4.0,1.0,6.0,23.0,3.0,22.0,46.0,13.0,3.0,5.0,21.0,95.0,0.0,34.73684210526316,28.030303030303028
Sizer.java,arduino,22.0,8.0,3.0,50.91,2.0,2.0,6.0,29.0,1.0,34.0,45.0,10.0,2.0,15.0,6.0,108.0,0.0,0.0,28.947368421052634
SketchTextArea.java,arduino,23.0,8.0,8.0,46.12,2.0,5.0,9.0,29.0,1.0,34.0,10.0,9.0,3.0,15.0,111.0,131.0,0.0,0.0,19.1358024691358
Uploader.java,arduino,9.0,14.0,3.0,42.96,1.0,0.0,5.0,23.0,1.0,7.0,90.0,16.0,2.0,6.0,27.0,75.0,0.0,0.0,27.184466019417474
I18n.java,arduino,8.0,15.0,2.0,91.24,2.0,1.0,12.0,12.0,2.0,21.0,8.0,5.0,3.0,14.0,18.0,71.0,0.0,0.0,28.28282828282828
ContributionIndexTableModel.java,arduino,45.0,6.0,7.0,36.25,2.0,4.0,18.0,41.0,1.0,58.0,45.0,14.0,3.0,28.0,48.0,185.0,0.0,0.0,17.77777777777778
LibrariesIndex.java,arduino,8.0,12.0,4.0,72.39,1.0,20.0,10.0,11.0,1.0,18.0,1.0,2.0,2.0,5.0,8.0,51.0,0.0,0.0,35.44303797468354
PdeKeywords.java,arduino,9.0,11.0,4.0,56.9,2.0,1.0,9.0,9.0,1.0,17.0,4.0,4.0,2.0,9.0,8.0,58.0,0.0,0.0,23.684210526315788
ContributedTool.java,arduino,27.0,8.0,3.0,47.56,3.0,0.0,8.0,32.0,3.0,32.0,86.0,16.0,3.0,12.0,33.0,138.0,0.0,23.91304347826087,22.905027932960895
GPGDetachedSignatureVerifier.java,arduino,25.0,8.0,8.0,37.05,2.0,0.0,5.0,19.0,5.0,55.0,0.0,9.0,4.0,27.0,67.0,124.0,0.0,0.0,18.954248366013072
LibrariesIndexer.java,arduino,8.0,7.0,2.0,100.0,2.0,0.0,1.0,10.0,1.0,7.0,6.0,4.0,3.0,2.0,10.0,46.0,0.0,0.0,2.127659574468085
UploaderUtils.java,arduino,7.0,32.0,3.0,54.24,5.0,1.0,4.0,17.0,1.0,26.0,7.0,6.0,4.0,18.0,18.0,90.0,0.0,0.0,1.098901098901099
FixEncoding.java,arduino,5.0,34.0,2.0,99.51,1.0,0.0,3.0,25.0,1.0,35.0,24.0,9.0,2.0,16.0,11.0,123.0,0.0,0.0,18.543046357615893
LibrariesIndexTableModel.java,arduino,10.0,19.0,5.0,52.99,4.0,2.0,8.0,16.0,1.0,35.0,4.0,4.0,2.0,26.0,6.0,114.0,0.0,0.0,25.49019607843137
EditorConsole.java,arduino,9.0,6.0,3.0,70.31,1.0,8.0,1.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,83.6734693877551
NetUtils.java,arduino,9.0,13.0,3.0,88.07,1.0,13.0,2.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,84.0,0.0,0.0,25.0
ZipDeflater.java,arduino,27.0,13.0,6.0,80.67,2.0,4.0,5.0,42.0,4.0,29.0,153.0,18.0,3.0,21.0,32.0,143.0,0.0,0.0,54.166666666666664
CustomProxySelector.java,arduino,20.0,13.0,6.0,31.85,4.0,1.0,7.0,19.0,7.0,67.0,20.0,12.0,2.0,25.0,76.0,198.0,0.0,0.0,3.8834951456310676
Archiver.java,arduino,3.0,34.0,1.0,100.0,1.0,0.0,1.0,12.0,1.0,25.0,3.0,3.0,2.0,11.0,0.0,55.0,0.0,0.0,33.734939759036145
Discovery.java,arduino,9.0,10.0,3.0,72.5,2.0,2.0,10.0,6.0,1.0,12.0,1.0,3.0,2.0,9.0,6.0,52.0,0.0,0.0,35.80246913580247
Languages.java,arduino,9.0,17.0,6.0,46.83,1.0,1.0,1.0,20.0,1.0,16.0,0.0,5.0,4.0,11.0,4.0,73.0,0.0,0.0,42.06349206349206
PreferencesMap.java,arduino,7.0,10.0,2.0,59.66,1.0,1.0,2.0,8.0,1.0,10.0,1.0,2.0,2.0,4.0,10.0,35.0,0.0,0.0,46.15384615384615
AbstractTextMonitor.java,arduino,1.0,112.0,1.0,100.0,1.0,0.0,1.0,9.0,2.0,3.0,0.0,9.0,0.0,2.0,0.0,49.0,0.0,0.0,50.0
ExternalProcessOutputParser.java,arduino,41.0,7.0,11.0,30.88,2.0,3.0,8.0,36.0,1.0,42.0,32.0,21.0,2.0,12.0,15.0,149.0,0.0,0.0,40.16064257028113
GZippedJsonDownloader.java,arduino,17.0,6.0,5.0,80.95,2.0,31.0,0.0,7.0,1.0,4.0,0.0,0.0,2.0,32.0,17.0,55.0,0.0,0.0,33.734939759036145
MessageSiphon.java,arduino,22.0,8.0,3.0,37.45,1.0,1.0,8.0,34.0,2.0,13.0,174.0,21.0,2.0,14.0,23.0,103.0,0.0,0.0,23.134328358208954
VersionHelper.java,arduino,3.0,18.0,2.0,96.88,1.0,58.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,18.0,0.0,0.0,60.86956521739131
SimpleAction.java,arduino,4.0,28.0,3.0,94.92,1.0,0.0,9.0,12.0,2.0,18.0,0.0,5.0,2.0,10.0,6.0,71.0,0.0,26.76056338028169,24.46808510638298
BasicUserNotifier.java,arduino,1.0,46.0,1.0,100.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,13.0,0.0,0.0,68.29268292682927
SketchFile.java,arduino,4.0,58.0,2.0,99.15,1.0,22.0,2.0,18.0,1.0,26.0,43.0,11.0,3.0,4.0,0.0,86.0,0.0,0.0,59.813084112149525
Constants.java,arduino,2.0,11.0,1.0,100.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,11.0,0.0,0.0,21.428571428571427
ContributedPlatform.java,arduino,2.0,26.0,2.0,54.12,6.5,3.0,1.0,8.0,1.0,3.0,0.0,3.0,2.0,10.0,0.0,42.0,0.0,0.0,0.0
Event.java,arduino,9.0,16.0,4.0,68.4,4.0,1.0,6.0,10.0,1.0,18.0,1.0,3.0,4.0,17.0,0.0,81.0,0.0,0.0,29.565217391304348
GenericNetworkUploader.java,arduino,46.0,8.0,8.0,55.96,2.0,1078.0,7.0,54.0,1.0,55.0,66.0,24.0,2.0,30.0,76.0,198.0,0.0,0.0,38.69969040247678
JMenuUtils.java,arduino,37.0,5.0,6.0,60.61,2.0,0.0,5.0,28.0,1.0,39.0,46.0,12.0,3.0,18.0,24.0,122.0,0.0,0.0,25.153374233128833
Keys.java,arduino,18.0,9.0,7.0,88.71,1.0,0.0,16.0,17.0,8.0,28.0,9.0,7.0,3.0,9.0,59.0,134.0,0.0,0.0,2.18978102189781
PConstants.java,arduino,2.0,53.0,2.0,71.3,1.5,0.0,6.0,9.0,1.0,12.0,0.0,4.0,2.0,5.0,0.0,61.0,0.0,0.0,33.69565217391305
ProcessUtils.java,arduino,9.0,8.0,4.0,45.28,1.0,0.0,0.0,6.0,2.0,5.0,4.0,5.0,1.0,4.0,1.0,30.0,0.0,0.0,49.152542372881356
Ticks.java,arduino,3.0,35.0,1.0,100.0,1.0,0.0,4.0,12.0,1.0,24.0,36.0,9.0,2.0,5.0,0.0,60.0,0.0,0.0,31.818181818181817
UpdateCheck.java,arduino,6.0,14.0,3.0,80.0,1.0,0.0,3.0,10.0,1.0,7.0,0.0,9.0,0.0,2.0,2.0,44.0,0.0,0.0,38.88888888888889
Sketch.java,arduino,5.0,12.0,2.0,64.12,1.0,0.0,2.0,6.0,1.0,4.0,0.0,6.0,0.0,2.0,1.0,32.0,0.0,0.0,33.33333333333333
NetworkDiscovery.java,arduino,40.0,4.0,9.0,40.45,2.5,12.0,10.0,15.0,8.0,33.0,0.0,4.0,2.0,9.0,72.0,109.0,0.0,0.0,14.84375
NetworkMonitor.java,arduino,39.0,5.0,7.0,49.13,1.0,281.0,10.0,19.0,2.0,20.0,83.0,14.0,2.0,9.0,24.0,97.0,0.0,0.0,33.10344827586207
NewBoardListener.java,arduino,27.0,7.0,4.0,45.57,2.0,1.0,6.0,41.0,2.0,27.0,270.0,25.0,2.0,13.0,11.0,111.0,0.0,0.0,28.846153846153843
InstallerTableCell.java,arduino,5.0,11.0,2.0,93.75,1.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,6.0,18.0,0.0,0.0,61.702127659574465
PACSupportMethods.java,arduino,4.0,18.0,3.0,91.55,1.0,0.0,1.0,7.0,1.0,0.0,15.0,7.0,0.0,1.0,19.0,31.0,0.0,0.0,47.45762711864407
ContributedTargetPackage.java,arduino,2.0,48.0,2.0,87.85,2.5,1.0,6.0,9.0,1.0,12.0,0.0,4.0,3.0,9.0,0.0,50.0,0.0,0.0,30.555555555555557
LegacyTargetPackage.java,arduino,2.0,74.0,2.0,75.12,2.0,0.0,11.0,10.0,1.0,24.0,1.0,2.0,4.0,10.0,2.0,95.0,0.0,0.0,25.78125
SerialMonitor.java,arduino,10.0,6.0,1.0,100.0,1.0,0.0,2.0,3.0,1.0,9.0,0.0,2.0,1.0,4.0,1.0,24.0,0.0,0.0,53.84615384615385
Platform.java,arduino,2.0,30.0,2.0,88.24,2.5,1.0,0.0,3.0,1.0,7.0,0.0,1.0,2.0,2.0,0.0,26.0,0.0,0.0,51.85185185185185
ContributedLibrary.java,arduino,8.0,17.0,2.0,100.0,1.0,1.0,7.0,17.0,2.0,21.0,0.0,8.0,3.0,9.0,1.0,80.0,0.0,0.0,26.605504587155966
JsonDownloader.java,arduino,2.0,24.0,1.0,100.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,66.66666666666666
NoInteractionUserInfo.java,arduino,3.0,48.0,1.0,100.0,1.0,0.0,2.0,21.0,3.0,3.0,206.0,21.0,0.0,2.0,2.0,89.0,0.0,0.0,24.576271186440678
Mangler.java,arduino,4.0,5.0,2.0,100.0,1.0,0.0,1.0,5.0,1.0,1.0,10.0,5.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0
BoardCloudResolver.java,arduino,2.0,38.0,1.0,100.0,1.5,1.0,7.0,6.0,1.0,21.0,1.0,2.0,1.0,7.0,0.0,35.0,0.0,0.0,44.44444444444444
InstallerJDialogUncaughtExceptionHandler.java,arduino,2.0,84.0,1.0,100.0,9.0,0.0,1.0,23.0,1.0,18.0,0.0,8.0,2.0,5.0,2.0,82.0,0.0,0.0,43.05555555555556
MergeSketchWithBooloader.java,arduino,5.0,53.0,2.0,87.36,3.0,0.0,8.0,1.0,21.0,2.0,0.0,1.0,0.0,4.0,0.0,204.0,0.0,0.0,7.2727272727272725
SCP.java,arduino,3.0,20.0,2.0,50.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,65.38461538461539
StubMenuListener.java,arduino,3.0,17.0,2.0,80.0,1.0,0.0,2.0,3.0,1.0,5.0,0.0,1.0,1.0,4.0,0.0,16.0,0.0,0.0,64.44444444444444
UnavailableContributedLibrary.java,arduino,2.0,18.0,1.0,100.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,87.5
UserNotifier.java,arduino,3.0,13.0,1.0,100.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,77.77777777777779
LoadVIDPIDSpecificPreferences.java,arduino,3.0,26.0,2.0,62.03,1.0,0.0,0.0,5.0,2.0,15.0,0.0,2.0,2.0,7.0,0.0,43.0,0.0,0.0,40.27777777777778
CommandHistory.java,arduino,8.0,15.0,2.0,93.14,1.0,1.0,2.0,15.0,1.0,21.0,0.0,8.0,2.0,10.0,49.0,71.0,0.0,0.0,29.7029702970297
SketchTextAreaEditorKit.java,arduino,10.0,11.0,2.0,87.05,2.0,0.0,9.0,11.0,1.0,33.0,1.0,3.0,4.0,10.0,0.0,65.0,0.0,0.0,30.107526881720432
ConsoleLogger.java,arduino,9.0,19.0,1.0,100.0,3.0,0.0,8.0,13.0,1.0,38.0,0.0,4.0,1.0,18.0,19.0,115.0,0.0,0.0,20.689655172413794
ConsoleProgressListener.java,arduino,2.0,42.0,1.0,100.0,3.0,0.0,3.0,10.0,1.0,9.0,0.0,5.0,2.0,6.0,11.0,45.0,0.0,0.0,38.35616438356164
ContributedHelp.java,arduino,8.0,14.0,2.0,97.18,2.0,0.0,2.0,11.0,3.0,12.0,0.0,5.0,3.0,7.0,18.0,55.0,0.0,0.0,43.29896907216495
DefaultUncaughtExceptionHandler.java,arduino,13.0,7.0,5.0,54.05,1.0,0.0,3.0,14.0,2.0,7.0,3.0,3.0,2.0,3.0,9.0,46.0,0.0,0.0,43.20987654320987
LogFormatter.java,arduino,14.0,13.0,5.0,28.1,1.5,2.0,5.0,33.0,1.0,18.0,117.0,19.0,4.0,14.0,5.0,119.0,0.0,0.0,27.878787878787882
SplashScreenHelper.java,arduino,11.0,14.0,2.0,97.36,2.0,0.0,10.0,15.0,3.0,35.0,7.0,6.0,2.0,18.0,39.0,98.0,0.0,0.0,23.4375
BuiltInCoreIsNewerCheck.java,arduino,18.0,5.0,3.0,70.14,2.0,7.0,8.0,7.0,1.0,11.0,2.0,4.0,1.0,10.0,27.0,51.0,0.0,0.0,37.03703703703704
HttpConnectionManager.java,arduino,2.0,71.0,2.0,98.61,1.0,0.0,2.0,16.0,1.0,25.0,3.0,6.0,1.0,29.0,0.0,84.0,0.0,0.0,23.636363636363637
I18NAwareMessageConsumer.java,arduino,9.0,6.0,2.0,77.23,1.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,19.0,0.0,0.0,59.57446808510638
ConsoleOutputStream.java,arduino,9.0,7.0,2.0,79.57,1.0,0.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,25.0,0.0,0.0,52.83018867924528
HostDependentDownloadableContribution.java,arduino,9.0,7.0,2.0,76.4,1.0,0.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,25.0,0.0,0.0,52.83018867924528
BoardPort.java,arduino,8.0,8.0,2.0,77.45,1.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,26.0,0.0,0.0,51.85185185185185
ContributedPlatformTableCellEditor.java,arduino,6.0,12.0,3.0,93.1,1.5,0.0,0.0,7.0,1.0,8.0,0.0,2.0,3.0,8.0,1.0,30.0,0.0,0.0,52.38095238095239
AStyle.java,arduino,2.0,20.0,1.0,100.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,80.0
